id,start,end,team,court
1616,2023-08-03 18:00:00,,0,Stadium
1617,2023-08-03 18:00:00,,0,Grandstand
1618,2023-08-03 18:00:00,,0,Harris
1185,2023-07-30 17:00:00,,0,Stadium
1255,2023-08-01 13:00:00,,0,Stadium
1253,2023-08-01 12:00:00,,0,Court 5
1263,2023-08-01 14:00:00,,0,Harris
1256,2023-08-01 13:00:00,,0,Court 4
1250,2023-08-01 12:00:00,,0,Stadium
1183,2023-07-30 17:00:00,,0,Harris
1184,2023-07-30 17:00:00,,0,Grandstand
1190,2023-07-31 12:00:00,,1,Stadium
1191,2023-07-31 12:00:00,,2,Court 4
1192,2023-07-31 12:00:00,,3,Harris
1193,2023-07-31 12:00:00,,4,Court 5
1194,2023-07-31 12:00:00,,5,Grandstand
1195,2023-07-31 13:00:00,,6,Stadium
1196,2023-07-31 13:00:00,,7,Court 4
1197,2023-07-31 13:00:00,,8,Harris
1198,2023-07-31 13:00:00,,9,Court 5
1199,2023-07-31 13:00:00,,10,Grandstand
1200,2023-07-31 14:00:00,,1,Grandstand
1201,2023-07-31 14:00:00,,2,Stadium
1202,2023-07-31 14:00:00,,3,Court 4
1203,2023-07-31 14:00:00,,4,Harris
1204,2023-07-31 14:00:00,,5,Court 5
1205,2023-07-31 15:00:00,,6,Grandstand
1206,2023-07-31 15:00:00,,7,Stadium
1207,2023-07-31 15:00:00,,8,Court 4
1208,2023-07-31 15:00:00,,9,Harris
1209,2023-07-31 15:00:00,,10,Court 5
1210,2023-07-31 16:00:00,,1,Court 5
1211,2023-07-31 16:00:00,,2,Grandstand
1212,2023-07-31 16:00:00,,3,Stadium
1213,2023-07-31 16:00:00,,4,Court 4
1214,2023-07-31 16:00:00,,5,Harris
1215,2023-07-31 17:00:00,,6,Court 5
1216,2023-07-31 17:00:00,,7,Grandstand
1217,2023-07-31 17:00:00,,8,Stadium
1218,2023-07-31 17:00:00,,9,Court 4
1219,2023-07-31 17:00:00,,10,Harris
1220,2023-07-31 18:00:00,,1,Harris
1222,2023-07-31 18:00:00,,3,Grandstand
1224,2023-07-31 18:00:00,,5,Court 4
1225,2023-07-31 19:00:00,,6,Harris
1227,2023-07-31 19:00:00,,8,Grandstand
1228,2023-07-31 19:00:00,,9,Stadium
1231,2023-07-31 20:00:00,,2,Harris
1234,2023-07-31 20:00:00,,5,Stadium
1236,2023-07-31 21:00:00,,7,Harris
1239,2023-07-31 21:00:00,,10,Stadium
1242,2023-07-31 22:00:00,,3,Harris
1260,2023-08-01 14:00:00,,0,Grandstand
1223,2023-07-31 18:00:00,,0,Stadium
1226,2023-07-31 19:00:00,,0,Court 5
1232,2023-07-31 20:00:00,,0,Court 5
1237,2023-07-31 21:00:00,,0,Court 5
1243,2023-07-31 22:00:00,,0,Court 5
1248,2023-07-31 23:00:00,,0,Court 5
1221,2023-07-31 18:00:00,2023-07-31 18:55:55,2,Court 5
1252,2023-08-01 12:00:00,,0,Harris
1262,2023-08-01 14:00:00,,0,Court 4
1251,2023-08-01 12:00:00,,0,Court 4
1261,2023-08-01 14:00:00,,0,Stadium
1619,2023-08-03 18:00:00,,0,Court 4
1635,2023-08-03 23:00:00,,0,Court 5
1636,2023-08-03 23:00:00,,0,Grandstand
1230,2023-07-31 20:00:00,,0,Court 4
1235,2023-07-31 21:00:00,,0,Court 4
1241,2023-07-31 22:00:00,,0,Court 4
1246,2023-07-31 23:00:00,,0,Court 4
1229,2023-07-31 19:00:00,2023-07-31 19:55:40,10,Court 4
1238,2023-07-31 21:00:00,,0,Grandstand
1244,2023-07-31 22:00:00,,0,Grandstand
1249,2023-07-31 23:00:00,,0,Grandstand
1233,2023-07-31 20:00:00,2023-07-31 20:53:00,3,Grandstand
1637,2023-08-03 23:00:00,,0,Harris
1638,2023-08-03 23:00:00,,0,Stadium
1639,2023-08-03 23:00:00,,0,Court 4
1693,2023-08-05 12:00:00,,1,Stadium
1245,2023-07-31 23:00:00,,0,Stadium
1240,2023-07-31 22:00:00,2023-07-31 22:27:25,1,Stadium
1247,2023-07-31 23:00:00,2023-07-31 23:21:53,2,Harris
1254,2023-08-01 12:00:00,,5,Grandstand
1257,2023-08-01 13:00:00,,8,Harris
1258,2023-08-01 13:00:00,,9,Court 5
1259,2023-08-01 13:00:00,,10,Grandstand
1264,2023-08-01 14:00:00,,5,Court 5
1265,2023-08-01 15:00:00,,6,Grandstand
1266,2023-08-01 15:00:00,,7,Stadium
1267,2023-08-01 15:00:00,,8,Court 4
1268,2023-08-01 15:00:00,,9,Harris
1703,2023-08-05 22:00:00,,4,Stadium
1702,2023-08-05 21:00:00,,0,Stadium
1694,2023-08-05 13:00:00,,1,Stadium
1701,2023-08-05 20:00:00,2023-08-05 20:17:39,2,Stadium
1695,2023-08-05 14:00:00,,2,Stadium
1696,2023-08-05 15:00:00,,3,Stadium
1697,2023-08-05 16:00:00,,4,Stadium
1698,2023-08-05 17:00:00,,2,Stadium
1699,2023-08-05 18:00:00,,3,Stadium
1700,2023-08-05 19:00:00,,4,Stadium
1704,2023-08-05 23:00:00,2023-08-05 23:02:53,3,Stadium
1269,2023-08-01 15:00:00,,10,Court 5
1272,2023-08-01 16:00:00,,3,Stadium
1273,2023-08-01 16:00:00,,4,Court 4
1274,2023-08-01 16:00:00,,5,Harris
1276,2023-08-01 17:00:00,,7,Grandstand
1277,2023-08-01 17:00:00,,8,Stadium
1278,2023-08-01 17:00:00,,9,Court 4
1279,2023-08-01 17:00:00,,10,Harris
1282,2023-08-01 18:00:00,,3,Grandstand
1284,2023-08-01 18:00:00,,5,Court 4
1285,2023-08-01 19:00:00,,6,Harris
1286,2023-08-01 19:00:00,,7,Court 5
1287,2023-08-01 19:00:00,,8,Grandstand
1288,2023-08-01 19:00:00,,9,Stadium
1294,2023-08-01 20:00:00,,5,Stadium
1296,2023-08-01 21:00:00,,7,Harris
1300,2023-08-01 22:00:00,,1,Stadium
1302,2023-08-01 22:00:00,,3,Harris
1283,2023-08-01 18:00:00,,0,Stadium
1559,2023-08-03 13:00:00,,9,Grandstand
1551,2023-08-03 12:00:00,,0,Court 4
1620,2023-08-03 19:00:00,,0,Grandstand
1621,2023-08-03 19:00:00,,0,Harris
1622,2023-08-03 19:00:00,,0,Court 4
1623,2023-08-03 19:00:00,,0,Stadium
1297,2023-08-01 21:00:00,,0,Court 5
1303,2023-08-01 22:00:00,,0,Court 5
1308,2023-08-01 23:00:00,,0,Court 5
1346,2023-08-02 19:00:00,,0,Court 5
1292,2023-08-01 20:00:00,2023-08-01 20:23:29,0,Court 5
1335,2023-08-02 17:00:00,2023-08-02 17:50:51,6,Court 5
1341,2023-08-02 18:00:00,,2,Court 5
1347,2023-08-02 19:00:00,,0,Grandstand
1342,2023-08-02 18:00:00,2023-08-02 18:56:56,3,Grandstand
1304,2023-08-01 22:00:00,,0,Grandstand
1309,2023-08-01 23:00:00,,0,Grandstand
1298,2023-08-01 21:00:00,,0,Grandstand
1624,2023-08-03 19:00:00,,0,Court 5
1563,2023-08-03 14:00:00,,0,Harris
1350,2023-08-02 20:00:00,,0,Court 4
1349,2023-08-02 19:00:00,2023-08-02 19:45:45,10,Court 4
1554,2023-08-03 12:00:00,,0,Grandstand
1295,2023-08-01 21:00:00,,0,Court 4
1301,2023-08-01 22:00:00,,0,Court 4
1306,2023-08-01 23:00:00,,0,Court 4
1557,2023-08-03 13:00:00,,0,Harris
1293,2023-08-01 20:00:00,2023-08-01 20:33:39,0,Grandstand
1567,2023-08-03 15:00:00,,0,Court 4
1640,2023-08-03 22:00:00,,0,Court 5
1289,2023-08-01 19:00:00,,0,Court 4
1299,2023-08-01 21:00:00,,0,Stadium
1641,2023-08-03 22:00:00,,0,Grandstand
1642,2023-08-03 22:00:00,,0,Harris
1643,2023-08-03 22:00:00,,0,Stadium
1644,2023-08-03 22:00:00,,0,Court 4
1270,2023-08-01 16:00:00,,0,Court 5
1280,2023-08-01 18:00:00,,0,Harris
1290,2023-08-01 20:00:00,2023-08-01 20:54:10,0,Court 4
1305,2023-08-01 23:00:00,2023-08-01 23:09:38,2,Stadium
1271,2023-08-01 16:00:00,,0,Grandstand
1281,2023-08-01 18:00:00,,0,Court 5
1291,2023-08-01 20:00:00,,0,Harris
1307,2023-08-01 23:00:00,2023-08-01 23:23:20,0,Harris
1275,2023-08-01 17:00:00,2023-08-01 17:16:58,6,Court 5
1310,2023-08-02 12:00:00,,1,Stadium
1311,2023-08-02 12:00:00,,2,Court 4
1312,2023-08-02 12:00:00,,3,Harris
1313,2023-08-02 12:00:00,,4,Court 5
1314,2023-08-02 12:00:00,,5,Grandstand
1315,2023-08-02 13:00:00,,6,Stadium
1316,2023-08-02 13:00:00,,7,Court 4
1317,2023-08-02 13:00:00,,8,Harris
1318,2023-08-02 13:00:00,,9,Court 5
1319,2023-08-02 13:00:00,,10,Grandstand
1320,2023-08-02 14:00:00,,1,Grandstand
1321,2023-08-02 14:00:00,,2,Stadium
1322,2023-08-02 14:00:00,,3,Court 4
1323,2023-08-02 14:00:00,,4,Harris
1324,2023-08-02 14:00:00,,5,Court 5
1325,2023-08-02 15:00:00,,6,Grandstand
1326,2023-08-02 15:00:00,,7,Stadium
1327,2023-08-02 15:00:00,,8,Court 4
1328,2023-08-02 15:00:00,,9,Harris
1329,2023-08-02 15:00:00,,10,Court 5
1330,2023-08-02 16:00:00,,1,Court 5
1331,2023-08-02 16:00:00,,2,Grandstand
1332,2023-08-02 16:00:00,,3,Stadium
1333,2023-08-02 16:00:00,,4,Court 4
1334,2023-08-02 16:00:00,,5,Harris
1336,2023-08-02 17:00:00,,7,Grandstand
1337,2023-08-02 17:00:00,,8,Stadium
1338,2023-08-02 17:00:00,,9,Court 4
1339,2023-08-02 17:00:00,,10,Harris
1340,2023-08-02 18:00:00,,1,Harris
1343,2023-08-02 18:00:00,,4,Stadium
1344,2023-08-02 18:00:00,,5,Court 4
1345,2023-08-02 19:00:00,,6,Harris
1348,2023-08-02 19:00:00,,9,Stadium
1351,2023-08-02 20:00:00,,2,Harris
1705,2023-08-05 12:00:00,,0,Harris
1706,2023-08-05 13:00:00,,0,Harris
1707,2023-08-05 14:00:00,,0,Harris
1553,2023-08-03 12:00:00,,0,Court 5
1558,2023-08-03 13:00:00,,0,Court 5
1564,2023-08-03 14:00:00,,0,Court 5
1709,2023-08-05 16:00:00,,1,Harris
1710,2023-08-05 17:00:00,,0,Harris
1550,2023-08-03 12:00:00,,1,Stadium
1552,2023-08-03 12:00:00,,3,Harris
1555,2023-08-03 13:00:00,,6,Stadium
1556,2023-08-03 13:00:00,,7,Court 4
1560,2023-08-03 14:00:00,,1,Grandstand
1561,2023-08-03 14:00:00,,2,Stadium
1562,2023-08-03 14:00:00,,3,Court 4
1565,2023-08-03 15:00:00,,6,Grandstand
1566,2023-08-03 15:00:00,,7,Stadium
1568,2023-08-03 15:00:00,,9,Harris
1711,2023-08-05 18:00:00,,0,Harris
1712,2023-08-05 19:00:00,,0,Harris
1713,2023-08-05 20:00:00,,0,Harris
1714,2023-08-05 21:00:00,,0,Harris
1715,2023-08-05 22:00:00,,0,Harris
1716,2023-08-05 23:00:00,,0,Harris
1708,2023-08-05 15:00:00,,1,Harris
1354,2023-08-02 20:00:00,,5,Stadium
1359,2023-08-02 21:00:00,,10,Stadium
1358,2023-08-02 21:00:00,2023-08-02 21:45:38,0,Grandstand
1569,2023-08-03 15:00:00,,0,Court 5
1360,2023-08-02 22:00:00,,0,Stadium
1367,2023-08-02 23:00:00,,0,Harris
1352,2023-08-02 20:00:00,,0,Court 5
1357,2023-08-02 21:00:00,,0,Court 5
1363,2023-08-02 22:00:00,,0,Court 5
1368,2023-08-02 23:00:00,,0,Court 5
1353,2023-08-02 20:00:00,,0,Grandstand
1365,2023-08-02 23:00:00,,0,Stadium
1573,2023-08-03 16:00:00,,0,Court 4
1362,2023-08-02 22:00:00,,0,Harris
1355,2023-08-02 21:00:00,2023-08-02 21:38:27,0,Court 4
1361,2023-08-02 22:00:00,,0,Court 4
1366,2023-08-02 23:00:00,,0,Court 4
1356,2023-08-02 21:00:00,,9,Harris
1574,2023-08-03 16:00:00,,1,Harris
1664,2023-08-04 16:00:00,,0,Court 4
1668,2023-08-04 17:00:00,,0,Court 4
1669,2023-08-04 18:00:00,,0,Court 4
1673,2023-08-04 19:00:00,,0,Court 4
1678,2023-08-04 20:00:00,,0,Court 4
1655,2023-08-04 14:00:00,2023-08-04 14:42:34,3,Court 4
1659,2023-08-04 15:00:00,,7,Court 4
1666,2023-08-04 17:00:00,,0,Grandstand
1670,2023-08-04 18:00:00,,0,Harris
1674,2023-08-04 19:00:00,,0,Harris
1645,2023-08-04 12:00:00,,1,Stadium
1646,2023-08-04 12:00:00,,2,Court 4
1647,2023-08-04 12:00:00,,3,Harris
1676,2023-08-04 19:00:00,,0,Stadium
1657,2023-08-04 15:00:00,,0,Grandstand
1665,2023-08-04 17:00:00,,0,Harris
1675,2023-08-04 19:00:00,2023-08-04 19:49:09,0,Grandstand
1364,2023-08-02 22:00:00,,0,Grandstand
1369,2023-08-02 23:00:00,,0,Grandstand
1658,2023-08-04 15:00:00,,0,Stadium
1677,2023-08-04 20:00:00,,0,Stadium
1662,2023-08-04 16:00:00,,0,Grandstand
1648,2023-08-04 12:00:00,,4,Grandstand
1570,2023-08-03 16:00:00,,10,Court 5
1649,2023-08-04 13:00:00,,5,Stadium
1672,2023-08-04 18:00:00,,0,Stadium
1661,2023-08-04 16:00:00,,0,Harris
1653,2023-08-04 14:00:00,2023-08-04 14:06:40,1,Grandstand
1650,2023-08-04 13:00:00,,6,Court 4
1651,2023-08-04 13:00:00,,7,Harris
1652,2023-08-04 13:00:00,,8,Grandstand
1654,2023-08-04 14:00:00,,2,Stadium
1656,2023-08-04 14:00:00,,4,Harris
1660,2023-08-04 15:00:00,,8,Harris
1571,2023-08-03 16:00:00,,2,Grandstand
1572,2023-08-03 16:00:00,,3,Stadium
1663,2023-08-04 16:00:00,,3,Stadium
1625,2023-08-03 20:00:00,,0,Court 5
1626,2023-08-03 20:00:00,,0,Grandstand
1627,2023-08-03 20:00:00,,0,Harris
1628,2023-08-03 20:00:00,,0,Court 4
1629,2023-08-03 20:00:00,,0,Stadium
1667,2023-08-04 17:00:00,,7,Stadium
1671,2023-08-04 18:00:00,,3,Grandstand
1679,2023-08-04 20:00:00,,3,Harris
