id,ballkid,court,count,duration
479203,524,Court 4,4,4:00:00
479204,524,Harris,7,6:30:00.149264
479205,524,Court 5,3,2:27:56.610014
479150,512,Court 5,2,2:00:00
479151,512,Grandstand,2,2:00:00
479272,538,Stadium,2,2:00:00
479273,538,Court 4,1,1:00:00
479274,538,Harris,2,2:00:00
479275,538,Court 5,0,0:00:00
479251,533,Grandstand,4,3:13:21.894623
479514,589,Harris,6,6:00:00
479581,603,Grandstand,0,0:00:00
479402,567,Stadium,0,0:00:00
479403,567,Court 4,0,0:00:00
479404,567,Harris,0,0:00:00
479405,567,Court 5,0,0:00:00
479406,567,Grandstand,0,0:00:00
479502,587,Stadium,10,9:02:53.091720
479503,587,Court 4,3,3:00:00
479504,587,Harris,2,2:00:00
479505,587,Court 5,1,1:00:00
479506,587,Grandstand,2,2:00:00
479353,555,Court 4,0,0:00:00
1008532,641,Stadium,0,0:00:00
1008533,641,Court 4,0,0:00:00
1008534,641,Harris,0,0:00:00
1008535,641,Court 5,0,0:00:00
1008536,641,Grandstand,0,0:00:00
479776,634,Grandstand,6,5:40:26.812801
479608,617,Court 4,5,5:00:00
479609,617,Harris,6,6:00:00
479610,617,Court 5,3,3:00:00
479611,617,Grandstand,3,2:27:07.449812
479612,559,Stadium,6,6:00:00
479613,559,Court 4,4,3:58:16.588813
479614,559,Harris,8,8:00:00
479615,559,Court 5,3,3:00:00
479616,559,Grandstand,0,0:00:00
479632,611,Stadium,6,4:41:47.143123
479633,611,Court 4,4,2:57:10.421254
479634,611,Harris,5,5:00:00
479648,613,Court 4,7,6:20:49.633175
479649,613,Harris,6,6:00:00
479650,613,Court 5,3,3:00:00
479651,613,Grandstand,6,5:53:00.964433
479377,562,Stadium,11,11:00:00
479378,562,Court 4,3,2:42:34.491651
479379,562,Harris,6,5:57:56.759278
479462,579,Stadium,2,2:00:00
479683,614,Court 4,3,3:00:00
479684,614,Harris,2,1:57:56.759278
479685,614,Court 5,1,1:00:00
479369,558,Harris,5,5:00:00
479370,558,Court 5,4,3:06:21.381640
479492,585,Stadium,11,10:17:39.183728
479493,585,Court 4,6,5:45:45.643779
479494,585,Harris,6,5:11:54.230601
479495,585,Court 5,7,6:11:24.634512
479233,530,Court 4,0,0:00:00
479234,530,Harris,0,0:00:00
479227,529,Stadium,4,3:16:37.823410
479228,529,Court 4,2,2:00:00
479408,568,Court 4,2,2:00:00
479409,568,Harris,2,2:00:00
479410,568,Court 5,1,1:00:00
479411,568,Grandstand,1,1:00:00
479592,606,Stadium,4,3:58:55.222714
479593,606,Court 4,0,0:00:00
479736,631,Grandstand,1,1:00:00
479638,560,Court 4,2,2:00:00
479639,560,Harris,2,2:00:00
479759,630,Harris,4,4:00:00
479760,630,Court 5,3,3:00:00
479761,630,Grandstand,3,3:00:00
479332,551,Stadium,9,6:51:25.257497
479333,551,Court 4,6,5:57:52.876787
479428,572,Court 4,4,3:01:06.646516
479429,572,Harris,5,5:00:00
479430,572,Court 5,8,7:11:24.683442
479431,572,Grandstand,6,5:06:40.706641
479537,594,Stadium,13,10:48:13.805417
479538,594,Court 4,4,3:19:18.409759
479539,594,Harris,7,6:56:41.530483
479540,594,Court 5,3,3:00:00
479529,592,Harris,7,7:00:00
479530,592,Court 5,2,1:50:51.515487
479531,592,Grandstand,5,4:27:07.449812
479173,517,Court 4,2,2:00:00
479174,517,Harris,1,1:00:00
479175,517,Court 5,1,1:00:00
479176,517,Grandstand,4,3:13:15.081176
479744,633,Harris,2,2:00:00
479745,633,Court 5,0,0:00:00
479746,633,Grandstand,3,3:00:00
479213,526,Court 4,0,0:00:00
479214,526,Harris,0,0:00:00
479215,526,Court 5,0,0:00:00
479216,526,Grandstand,0,0:00:00
479607,617,Stadium,3,2:16:37.823410
479688,623,Court 4,5,5:00:00
479689,623,Harris,4,3:57:56.759278
479447,576,Stadium,0,0:00:00
479448,576,Court 4,0,0:00:00
479449,576,Harris,0,0:00:00
479450,576,Court 5,0,0:00:00
479451,576,Grandstand,0,0:00:00
479385,563,Court 5,1,1:00:00
479386,563,Grandstand,5,4:27:07.449812
479602,608,Stadium,5,4:04:51.356214
479603,608,Court 4,2,2:00:00
479605,608,Court 5,1,1:00:00
479606,608,Grandstand,6,4:58:58.401605
479387,564,Stadium,4,4:00:00
479545,595,Court 5,3,2:21:50.244468
479546,595,Grandstand,2,2:00:00
479747,628,Stadium,4,3:16:37.823410
479729,624,Harris,1,1:00:00
479667,610,Stadium,1,1:00:00
479668,610,Court 4,1,1:00:00
479669,610,Harris,2,1:43:18.523138
479662,619,Stadium,3,3:00:00
479663,619,Court 4,3,2:45:45.643779
479665,619,Court 5,3,3:00:00
479666,619,Grandstand,3,3:00:00
479657,615,Stadium,7,7:00:00
479658,615,Court 4,4,3:42:34.491651
479659,615,Harris,9,8:55:40.849677
479660,615,Court 5,1,1:00:00
479661,615,Grandstand,6,6:00:00
479772,634,Stadium,7,6:31:36.355937
479773,634,Court 4,8,6:20:37.705248
479250,533,Court 5,0,0:00:00
479579,603,Harris,3,2:53:46.247114
479580,603,Court 5,1,1:00:00
479575,602,Court 5,1,1:00:00
479576,602,Grandstand,1,0:25:54.640354
479774,634,Harris,9,9:00:00
479687,623,Stadium,5,4:01:54.458199
479627,519,Stadium,5,5:00:00
479628,519,Court 4,3,3:00:00
479629,519,Harris,3,3:00:00
479631,519,Grandstand,4,3:06:40.706641
676462,640,Stadium,3,2:16:37.823410
676463,640,Court 4,1,1:00:00
676464,640,Harris,3,3:00:00
676465,640,Court 5,1,1:00:00
479496,585,Grandstand,4,3:53:00.964433
479172,517,Stadium,2,2:00:00
479321,548,Grandstand,6,5:03:01.981839
479258,535,Court 4,0,0:00:00
479308,546,Court 4,4,3:53:51.249658
479309,546,Harris,4,4:00:00
479310,546,Court 5,1,1:00:00
479311,546,Grandstand,2,2:00:00
479169,516,Harris,3,3:00:00
479170,516,Court 5,1,0:55:55.341569
479147,512,Stadium,3,2:09:38.114374
479148,512,Court 4,0,0:00:00
479515,589,Court 5,1,0:26:01.750354
479558,599,Court 4,6,4:42:57.557896
479559,599,Harris,6,5:21:53.543827
479560,599,Court 5,7,5:28:23.474185
479561,599,Grandstand,6,6:00:00
479376,561,Grandstand,1,1:00:00
479482,583,Stadium,8,7:27:25.307305
479477,582,Stadium,12,10:20:32.275448
479478,582,Court 4,4,4:00:00
479479,582,Harris,6,5:19:50.303105
479259,535,Harris,4,4:00:00
479260,535,Court 5,2,1:50:51.515487
479436,573,Grandstand,4,3:00:04.965816
479382,563,Stadium,5,5:00:00
479383,563,Court 4,4,4:00:00
479384,563,Harris,4,4:00:00
479372,561,Stadium,0,0:00:00
479373,561,Court 4,2,2:00:00
479374,561,Harris,2,2:00:00
479375,561,Court 5,2,2:00:00
479604,608,Harris,5,4:57:56.759278
479484,583,Harris,7,6:56:38.378378
479485,583,Court 5,1,1:00:00
479457,578,Stadium,13,11:17:48.432305
479458,578,Court 4,5,4:55:40.584688
479480,582,Court 5,1,1:00:00
479481,582,Grandstand,4,4:00:00
479522,591,Stadium,16,15:17:39.183728
479523,591,Court 4,5,5:00:00
479524,591,Harris,3,2:21:53.543827
479426,571,Grandstand,3,3:00:00
479582,604,Stadium,0,0:00:00
479595,606,Court 5,2,2:00:00
479596,606,Grandstand,4,4:00:00
479562,600,Stadium,0,0:00:00
479563,600,Court 4,0,0:00:00
479564,600,Harris,2,1:27:28.460560
479565,600,Court 5,0,0:00:00
479566,600,Grandstand,3,1:43:20.482223
479394,565,Harris,7,5:32:27.207142
479395,565,Court 5,2,2:00:00
479396,565,Grandstand,2,2:00:00
479237,531,Stadium,0,0:00:00
479238,531,Court 4,0,0:00:00
479239,531,Harris,0,0:00:00
479240,531,Court 5,0,0:00:00
479162,515,Stadium,10,9:01:29.187837
479184,520,Harris,9,9:00:00
479235,530,Court 5,0,0:00:00
479236,530,Grandstand,0,0:00:00
479322,549,Stadium,8,6:27:17.298102
479323,549,Court 4,2,1:01:06.646516
479469,580,Harris,3,3:00:00
479470,580,Court 5,3,2:16:58.768705
479471,580,Grandstand,4,3:06:40.706641
479635,611,Court 5,3,2:46:46.857056
479636,611,Grandstand,4,4:00:00
479463,579,Court 4,3,1:04:31.282410
479464,579,Harris,5,4:53:35.562273
479465,579,Court 5,2,2:00:00
479342,553,Stadium,16,13:11:32.869336
479343,553,Court 4,5,4:08:27.672951
479344,553,Harris,6,5:57:56.759278
479345,553,Court 5,4,4:00:00
479346,553,Grandstand,5,5:00:00
479367,558,Stadium,3,3:00:00
479368,558,Court 4,5,4:22:42.029172
479417,570,Stadium,0,0:00:00
479418,570,Court 4,0,0:00:00
479419,570,Harris,0,0:00:00
479420,570,Court 5,0,0:00:00
479549,596,Harris,5,5:00:00
479550,596,Court 5,2,2:00:00
479551,596,Grandstand,0,0:00:00
479507,588,Stadium,4,4:00:00
479508,588,Court 4,0,0:00:00
479509,588,Harris,7,7:00:00
479510,588,Court 5,2,1:25:13.423182
479459,578,Harris,4,4:00:00
479460,578,Court 5,4,4:00:00
479461,578,Grandstand,5,3:33:48.156453
479392,565,Stadium,13,12:09:38.114374
479393,565,Court 4,5,4:01:06.646516
479472,581,Stadium,11,9:37:36.094491
479473,581,Court 4,5,4:01:06.646516
479474,581,Harris,7,6:19:23.033685
479475,581,Court 5,2,2:00:00
479476,581,Grandstand,9,8:10:48.828844
479594,606,Harris,3,2:57:56.759278
479707,620,Stadium,9,8:31:36.355937
479708,620,Court 4,5,5:00:00
479709,620,Harris,10,8:54:14.883950
479217,527,Stadium,7,6:16:37.823410
479221,527,Grandstand,4,3:27:07.449812
479466,579,Grandstand,5,3:25:41.831005
479682,614,Stadium,3,3:00:00
479686,614,Grandstand,3,3:00:00
479157,514,Stadium,3,3:00:00
479158,514,Court 4,5,4:45:45.643779
479371,558,Grandstand,3,3:00:00
479224,528,Harris,6,5:08:18.841479
479225,528,Court 5,3,1:17:00.236388
479226,528,Grandstand,4,4:00:00
479700,618,Court 5,1,1:00:00
479701,618,Grandstand,5,3:58:50.502580
479617,511,Stadium,2,2:00:00
479618,511,Court 4,3,3:00:00
479619,511,Harris,4,3:29:41.169412
479620,511,Court 5,2,1:49:51.895030
479782,638,Stadium,0,0:00:00
479783,638,Court 4,0,0:00:00
479784,638,Harris,0,0:00:00
479785,638,Court 5,0,0:00:00
479786,638,Grandstand,0,0:00:00
479621,511,Grandstand,2,2:00:00
479381,562,Grandstand,5,5:00:00
479427,572,Stadium,11,9:45:04.491033
479159,514,Harris,7,7:00:00
479160,514,Court 5,5,4:49:54.481365
479161,514,Grandstand,4,4:00:00
479532,593,Stadium,10,8:36:26.745255
479535,593,Court 5,4,3:26:26.346465
479536,593,Grandstand,5,5:00:00
479717,622,Stadium,5,4:58:41.876405
479718,622,Court 4,4,2:53:05.745019
479719,622,Harris,4,4:00:00
479720,622,Court 5,2,2:00:00
479721,622,Grandstand,9,8:10:48.970215
479357,556,Stadium,15,14:02:53.091720
479358,556,Court 4,5,5:00:00
479359,556,Harris,4,4:00:00
479583,604,Court 4,0,0:00:00
479584,604,Harris,0,0:00:00
479585,604,Court 5,0,0:00:00
479586,604,Grandstand,0,0:00:00
479232,530,Stadium,0,0:00:00
479732,631,Stadium,1,0:52:02.531584
479733,631,Court 4,1,1:00:00
479734,631,Harris,3,3:00:00
479735,631,Court 5,1,1:00:00
479262,536,Stadium,6,5:27:25.307305
479263,536,Court 4,4,2:57:20.496860
479264,536,Harris,4,3:57:13.864658
479265,536,Court 5,6,4:59:39.263151
479266,536,Grandstand,3,3:00:00
